gene_id	transcript_id	biotype
ENSMUSG00000000001	ENSMUST00000000001	protein_coding
ENSMUSG00000000003	ENSMUST00000000003	protein_coding
ENSMUSG00000020875	ENSMUST00000000010	protein_coding
ENSMUSG00000000028	ENSMUST00000000028	protein_coding
ENSMUSG00000048583	ENSMUST00000000033	protein_coding
ENSMUSG00000000049	ENSMUST00000000049	protein_coding
ENSMUSG00000000058	ENSMUST00000000058	protein_coding
ENSMUSG00000000078	ENSMUST00000000080	protein_coding
ENSMUSG00000000085	ENSMUST00000000087	protein_coding
ENSMUSG00000000088	ENSMUST00000000090	protein_coding
ENSMUSG00000061689	ENSMUST00000000094	protein_coding
ENSMUSG00000000093	ENSMUST00000000095	protein_coding
ENSMUSG00000000094	ENSMUST00000000096	protein_coding
ENSMUSG00000055022	ENSMUST00000000109	protein_coding
ENSMUSG00000000120	ENSMUST00000000122	protein_coding
ENSMUSG00000000125	ENSMUST00000000127	protein_coding
ENSMUSG00000000126	ENSMUST00000000128	protein_coding
ENSMUSG00000000127	ENSMUST00000000129	protein_coding
ENSMUSG00000020152	ENSMUST00000000137	protein_coding
ENSMUSG00000020333	ENSMUST00000000145	protein_coding
ENSMUSG00000000149	ENSMUST00000000153	protein_coding
ENSMUSG00000000157	ENSMUST00000000161	protein_coding
ENSMUSG00000000159	ENSMUST00000000163	protein_coding
ENSMUSG00000000167	ENSMUST00000000171	protein_coding
ENSMUSG00000000171	ENSMUST00000000175	protein_coding
ENSMUSG00000000182	ENSMUST00000000186	protein_coding
ENSMUSG00000000183	ENSMUST00000000187	protein_coding
ENSMUSG00000000184	ENSMUST00000000188	protein_coding
ENSMUSG00000035385	ENSMUST00000000193	protein_coding
ENSMUSG00000035352	ENSMUST00000000194	protein_coding
ENSMUSG00000062661	ENSMUST00000000199	protein_coding
ENSMUSG00000000197	ENSMUST00000000201	protein_coding
ENSMUSG00000000202	ENSMUST00000000206	protein_coding
ENSMUSG00000000204	ENSMUST00000000208	protein_coding
ENSMUSG00000000214	ENSMUST00000000219	protein_coding
ENSMUSG00000000215	ENSMUST00000000220	protein_coding
ENSMUSG00000000216	ENSMUST00000000221	protein_coding
ENSMUSG00000000223	ENSMUST00000000228	retained_intron
ENSMUSG00000000247	ENSMUST00000000253	protein_coding
ENSMUSG00000000248	ENSMUST00000000254	protein_coding
ENSMUSG00000000253	ENSMUST00000000260	protein_coding
ENSMUSG00000026535	ENSMUST00000000266	protein_coding
ENSMUSG00000038257	ENSMUST00000000275	protein_coding
ENSMUSG00000000275	ENSMUST00000000284	protein_coding
ENSMUSG00000000276	ENSMUST00000000285	protein_coding
ENSMUSG00000000278	ENSMUST00000000287	protein_coding
ENSMUSG00000000282	ENSMUST00000000291	protein_coding
ENSMUSG00000000290	ENSMUST00000000299	protein_coding
ENSMUSG00000000295	ENSMUST00000000304	protein_coding
ENSMUSG00000000296	ENSMUST00000000305	protein_coding
ENSMUSG00000000301	ENSMUST00000000310	protein_coding
ENSMUSG00000000303	ENSMUST00000000312	protein_coding
ENSMUSG00000000305	ENSMUST00000000314	protein_coding
ENSMUSG00000000308	ENSMUST00000000317	protein_coding
ENSMUSG00000000317	ENSMUST00000000326	protein_coding
ENSMUSG00000000318	ENSMUST00000000327	protein_coding
ENSMUSG00000000320	ENSMUST00000000329	protein_coding
ENSMUSG00000000326	ENSMUST00000000335	protein_coding
ENSMUSG00000020676	ENSMUST00000000342	protein_coding
ENSMUSG00000000339	ENSMUST00000000348	protein_coding
ENSMUSG00000000340	ENSMUST00000000349	protein_coding
ENSMUSG00000000346	ENSMUST00000000356	protein_coding
ENSMUSG00000000355	ENSMUST00000000365	protein_coding
ENSMUSG00000000359	ENSMUST00000000369	protein_coding
ENSMUSG00000000374	ENSMUST00000000384	protein_coding
ENSMUSG00000000378	ENSMUST00000000388	protein_coding
ENSMUSG00000000384	ENSMUST00000000394	protein_coding
ENSMUSG00000000385	ENSMUST00000000395	protein_coding
ENSMUSG00000000392	ENSMUST00000000402	protein_coding
ENSMUSG00000000402	ENSMUST00000000412	protein_coding
ENSMUSG00000000411	ENSMUST00000000421	protein_coding
ENSMUSG00000000420	ENSMUST00000000430	protein_coding
ENSMUSG00000000435	ENSMUST00000000445	protein_coding
ENSMUSG00000000439	ENSMUST00000000449	protein_coding
ENSMUSG00000000440	ENSMUST00000000450	protein_coding
ENSMUSG00000000441	ENSMUST00000000451	protein_coding
ENSMUSG00000028494	ENSMUST00000000466	protein_coding
ENSMUSG00000029231	ENSMUST00000000476	protein_coding
ENSMUSG00000000489	ENSMUST00000000500	protein_coding
ENSMUSG00000029730	ENSMUST00000000505	protein_coding
ENSMUSG00000026315	ENSMUST00000000514	protein_coding
ENSMUSG00000000530	ENSMUST00000000542	protein_coding
ENSMUSG00000000531	ENSMUST00000000543	protein_coding
ENSMUSG00000000532	ENSMUST00000000544	protein_coding
ENSMUSG00000000560	ENSMUST00000000572	nonsense_mediated_decay
